feature,weight
hand_A,0.06583957421725452
hand_2,0.5730617206518548
hand_3,-0.1607167324915428
hand_4,-0.11189263616827975
hand_5,-0.0036209531051988085
hand_6,0.1812026697228852
hand_7,0.131758251237899
hand_8,0.006538566406502333
hand_9,0.06017087507076608
hand_T,0.298941524782471
hand_J,0.2580085967431422
hand_Q,0.17119185038097962
hand_K,0.05953278381993825
contrib_points,-0.374396589316467
points_total,0.0945171394969865
cards_needed,-0.24513202545507715
redundant_points,-0.31368121058740245
face_K,0.3532469519307707
face_Q,0.30214092765860145
face_8,-0.13768864243174433
board_material,0.14330264784116
has_glasses,-0.13768864243174433
opp_board_material,-0.37617131156581785
opp_face_K,-0.2206672145990302
opp_face_Q,-0.1934251499619232
opp_face_8,0.19005306123256133
opp_contrib_points,-0.15213200823742268
opp_cards_needed,0.03530230981280257
opp_redundant_points,0.54188395266531
opp_has_glasses,0.19005306123256133
is_turn,0.26280192274824915
