deck_bucket,diff_bin,states,leader_win_rate,flip_rate,avg_moves_to_end
Q1,"(-inf, -8.0]",10,1.0,0.0,13.0
Q1,"(-8.0, -6.0]",115,0.7652173913043478,0.017391304347826087,11.234782608695653
Q1,"(-6.0, -4.0]",1092,0.706959706959707,0.09981684981684982,14.848901098901099
Q1,"(-4.0, -2.0]",4048,0.5676877470355731,0.3016304347826087,19.468626482213438
Q1,"(-2.0, -1.0]",3463,0.4302627779382039,0.562229280970257,21.493502743286168
Q1,"(-1.0, 0.0]",3851,0.23007011165930927,0.8257595429758504,22.258634121007532
Q1,"(0.0, 1.0]",3467,0.3389097202192097,0.7349293337179117,21.937698298240555
Q1,"(1.0, 2.0]",2620,0.4316793893129771,0.4935114503816794,21.160687022900763
Q1,"(2.0, 4.0]",2687,0.5630815035355415,0.25195385187941943,17.824339411983626
Q1,"(4.0, 6.0]",692,0.726878612716763,0.09248554913294797,12.684971098265896
Q1,"(6.0, 8.0]",60,0.5,0.03333333333333333,8.033333333333333
Q1,"(8.0, inf]",1,0.0,0.0,6.0
Q2,"(-8.0, -6.0]",62,0.9193548387096774,0.016129032258064516,8.274193548387096
Q2,"(-6.0, -4.0]",759,0.8313570487483531,0.16600790513833993,22.463768115942027
Q2,"(-4.0, -2.0]",4004,0.7027972027972028,0.38986013986013984,28.106893106893107
Q2,"(-2.0, -1.0]",4137,0.5603094029489969,0.6632825719120136,32.3313995649021
Q2,"(-1.0, 0.0]",4754,0.30458561211611274,0.8847286495582667,33.695624737063525
Q2,"(0.0, 1.0]",3959,0.46249052791108863,0.7966658247032079,33.26420813336701
Q2,"(1.0, 2.0]",2729,0.5877610846463907,0.5672407475265665,30.484426529864418
Q2,"(2.0, 4.0]",2408,0.7113787375415282,0.34551495016611294,27.093023255813954
Q2,"(4.0, 6.0]",434,0.7488479262672811,0.19815668202764977,23.092165898617512
Q2,"(6.0, 8.0]",33,0.7272727272727273,0.0,10.151515151515152
Q3,"(-8.0, -6.0]",31,1.0,0.0,9.96774193548387
Q3,"(-6.0, -4.0]",394,0.916243654822335,0.16751269035532995,17.20812182741117
Q3,"(-4.0, -2.0]",2965,0.7032040472175379,0.4677908937605396,31.030691399662732
Q3,"(-2.0, -1.0]",3870,0.5700258397932817,0.7232558139534884,36.39457364341085
Q3,"(-1.0, 0.0]",4870,0.33634496919917867,0.8969199178644763,37.01971252566735
Q3,"(0.0, 1.0]",3534,0.4547255234861347,0.8579513299377476,36.64261460101868
Q3,"(1.0, 2.0]",1982,0.5605449041372351,0.6594349142280524,34.29868819374369
Q3,"(2.0, 4.0]",1365,0.7047619047619048,0.42344322344322344,28.531868131868134
Q3,"(4.0, 6.0]",132,0.8712121212121212,0.17424242424242425,21.795454545454547
Q3,"(6.0, 8.0]",9,0.3333333333333333,0.0,26.444444444444443
Q4,"(-8.0, -6.0]",20,0.95,0.05,6.5
Q4,"(-6.0, -4.0]",291,0.8487972508591065,0.1958762886597938,18.353951890034363
Q4,"(-4.0, -2.0]",2988,0.6820615796519411,0.5274431057563588,32.54484605087015
Q4,"(-2.0, -1.0]",5620,0.5656583629893238,0.7875444839857652,38.787366548042705
Q4,"(-1.0, 0.0]",6761,0.3032095843810087,0.9155450377163141,38.94261203963911
Q4,"(0.0, 1.0]",4087,0.4648886713971128,0.8742353804746757,37.950085637386834
Q4,"(1.0, 2.0]",1716,0.6002331002331003,0.6666666666666666,34.13286713286713
Q4,"(2.0, 4.0]",849,0.7090694935217904,0.44051825677267376,27.40871613663133
Q4,"(4.0, 6.0]",69,0.9130434782608695,0.17391304347826086,23.608695652173914
Q4,"(6.0, 8.0]",5,1.0,0.0,2.0
Q5,"(-8.0, -6.0]",5,1.0,0.0,23.8
Q5,"(-6.0, -4.0]",179,0.8324022346368715,0.2569832402234637,20.59776536312849
Q5,"(-4.0, -2.0]",1967,0.672089476359939,0.5261820030503305,28.626842907981697
Q5,"(-2.0, -1.0]",4851,0.5376211090496805,0.8062255205112348,38.77860235003092
Q5,"(-1.0, 0.0]",8340,0.41091127098321345,0.9051558752997602,40.99232613908873
Q5,"(0.0, 1.0]",2759,0.45052555273649875,0.9169989126495107,38.28343602754621
Q5,"(1.0, 2.0]",704,0.5980113636363636,0.6917613636363636,30.576704545454547
Q5,"(2.0, 4.0]",290,0.696551724137931,0.503448275862069,24.244827586206895
Q5,"(4.0, 6.0]",13,0.7692307692307693,0.23076923076923078,14.615384615384615
