deck_bucket,diff_bin,states,p0_win_rate,p1_win_rate,stalemate_rate,leader_win_rate,avg_moves_to_end
Q1,"(-inf, -8.0]",10.0,0.0,1.0,0.0,1.0,13.0
Q1,"(-8.0, -6.0]",115.0,0.043478260869565216,0.9565217391304348,0.0,0.7652173913043478,11.234782608695653
Q1,"(-6.0, -4.0]",1092.0,0.05507955936352509,0.944920440636475,0.0,0.706959706959707,14.848901098901099
Q1,"(-4.0, -2.0]",4048.0,0.15359116022099448,0.8464088397790055,0.0,0.5676877470355731,19.468626482213438
Q1,"(-2.0, -1.0]",3463.0,0.3027608797379504,0.6972391202620496,0.0,0.4302627779382039,21.493502743286168
Q1,"(-1.0, 0.0]",3851.0,0.4282521233795262,0.5717478766204739,0.0,0.23007011165930927,22.258634121007532
Q1,"(0.0, 1.0]",3467.0,0.5684567005321722,0.43154329946782777,0.0,0.3389097202192097,21.937698298240555
Q1,"(1.0, 2.0]",2620.0,0.6846246973365617,0.3153753026634383,0.0,0.4316793893129771,21.160687022900763
Q1,"(2.0, 4.0]",2687.0,0.8313186813186814,0.1686813186813187,0.0,0.5630815035355415,17.824339411983626
Q1,"(4.0, 6.0]",692.0,0.9490566037735849,0.0509433962264151,0.0,0.726878612716763,12.684971098265896
Q1,"(6.0, 8.0]",60.0,1.0,0.0,0.0,0.5,8.033333333333333
Q1,"(8.0, inf]",1.0,,,,0.0,6.0
Q2,"(-8.0, -6.0]",62.0,0.06557377049180328,0.9344262295081968,0.0,0.9193548387096774,8.274193548387096
Q2,"(-6.0, -4.0]",759.0,0.10241820768136557,0.8975817923186344,0.0,0.8313570487483531,22.463768115942027
Q2,"(-4.0, -2.0]",4004.0,0.18054746651135703,0.819452533488643,0.0,0.7027972027972028,28.106893106893107
Q2,"(-2.0, -1.0]",4137.0,0.32967032967032966,0.6703296703296703,0.0,0.5603094029489969,32.3313995649021
Q2,"(-1.0, 0.0]",4754.0,0.4450354609929078,0.5549645390070922,0.0,0.30458561211611274,33.695624737063525
Q2,"(0.0, 1.0]",3959.0,0.5540090771558245,0.4459909228441755,0.0,0.46249052791108863,33.26420813336701
Q2,"(1.0, 2.0]",2729.0,0.693171996542783,0.30682800345721695,0.0,0.5877610846463907,30.484426529864418
Q2,"(2.0, 4.0]",2408.0,0.8219769673704415,0.17802303262955854,0.0,0.7113787375415282,27.093023255813954
Q2,"(4.0, 6.0]",434.0,0.8689839572192514,0.13101604278074866,0.0,0.7488479262672811,23.092165898617512
Q2,"(6.0, 8.0]",33.0,0.7272727272727273,0.2727272727272727,0.0,0.7272727272727273,10.151515151515152
Q3,"(-8.0, -6.0]",31.0,0.0,1.0,0.0,1.0,9.96774193548387
Q3,"(-6.0, -4.0]",394.0,0.06718346253229975,0.9328165374677002,0.0,0.916243654822335,17.20812182741117
Q3,"(-4.0, -2.0]",2965.0,0.23091110291405387,0.7690888970859462,0.0,0.7032040472175379,31.030691399662732
Q3,"(-2.0, -1.0]",3870.0,0.355159310143233,0.644840689856767,0.0,0.5700258397932817,36.39457364341085
Q3,"(-1.0, 0.0]",4870.0,0.4320500927643785,0.5679499072356216,0.0,0.33634496919917867,37.01971252566735
Q3,"(0.0, 1.0]",3534.0,0.5162222936074526,0.48377770639254736,0.0,0.4547255234861347,36.64261460101868
Q3,"(1.0, 2.0]",1982.0,0.63125,0.36875,0.0,0.5605449041372351,34.29868819374369
Q3,"(2.0, 4.0]",1365.0,0.7846655791190864,0.21533442088091354,0.0,0.7047619047619048,28.531868131868134
Q3,"(4.0, 6.0]",132.0,0.9126984126984127,0.0873015873015873,0.0,0.8712121212121212,21.795454545454547
Q3,"(6.0, 8.0]",9.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,26.444444444444443
Q4,"(-8.0, -6.0]",20.0,0.05,0.95,0.0,0.95,6.5
Q4,"(-6.0, -4.0]",291.0,0.12411347517730496,0.875886524822695,0.0,0.8487972508591065,18.353951890034363
Q4,"(-4.0, -2.0]",2988.0,0.2674335010783609,0.732566498921639,0.0,0.6820615796519411,32.54484605087015
Q4,"(-2.0, -1.0]",5620.0,0.38247863247863245,0.6175213675213675,0.0,0.5656583629893238,38.787366548042705
Q4,"(-1.0, 0.0]",6761.0,0.4362610797743755,0.5637389202256246,0.0,0.3032095843810087,38.94261203963911
Q4,"(0.0, 1.0]",4087.0,0.5069370330843116,0.49306296691568835,0.0,0.4648886713971128,37.950085637386834
Q4,"(1.0, 2.0]",1716.0,0.6506632975363235,0.34933670246367654,0.0,0.6002331002331003,34.13286713286713
Q4,"(2.0, 4.0]",849.0,0.7543859649122807,0.24561403508771928,0.0,0.7090694935217904,27.40871613663133
Q4,"(4.0, 6.0]",69.0,0.9130434782608695,0.08695652173913043,0.0,0.9130434782608695,23.608695652173914
Q4,"(6.0, 8.0]",5.0,1.0,0.0,0.0,1.0,2.0
Q5,"(-8.0, -6.0]",5.0,0.0,1.0,0.0,1.0,23.8
Q5,"(-6.0, -4.0]",179.0,0.15819209039548024,0.8418079096045198,0.0,0.8324022346368715,20.59776536312849
Q5,"(-4.0, -2.0]",1967.0,0.2975557917109458,0.7024442082890542,0.0,0.672089476359939,28.626842907981697
Q5,"(-2.0, -1.0]",4851.0,0.42402826855123676,0.5759717314487632,0.0,0.5376211090496805,38.77860235003092
Q5,"(-1.0, 0.0]",8340.0,0.4508894044856922,0.5491105955143079,0.0,0.41091127098321345,40.99232613908873
Q5,"(0.0, 1.0]",2759.0,0.48196975571927103,0.518030244280729,0.0,0.45052555273649875,38.28343602754621
Q5,"(1.0, 2.0]",704.0,0.6274217585692996,0.37257824143070045,0.0,0.5980113636363636,30.576704545454547
Q5,"(2.0, 4.0]",290.0,0.7137809187279152,0.2862190812720848,0.0,0.696551724137931,24.244827586206895
Q5,"(4.0, 6.0]",13.0,0.7692307692307693,0.23076923076923078,0.0,0.7692307692307693,14.615384615384615
