diff_bin,states,flip_rate
"(-inf, -8.0]",10,0.0
"(-8.0, -6.0]",233,0.017167381974248927
"(-6.0, -4.0]",2715,0.14880294659300183
"(-4.0, -2.0]",15972,0.42449286250939144
"(-2.0, -1.0]",21941,0.7213436032997584
"(-1.0, 0.0]",28576,0.8921122620380739
"(0.0, 1.0]",17806,0.8332584522071212
"(1.0, 2.0]",9751,0.5926571633678597
"(2.0, 4.0]",7599,0.3430714567706277
"(4.0, 6.0]",1340,0.14029850746268657
"(6.0, 8.0]",107,0.018691588785046728
"(8.0, inf]",1,0.0
