deck_bucket,diff_bin,states,leader_win_rate,flip_rate,avg_moves_to_end
Q1,"(-inf, -8.0]",25,0.96,0.0,8.12
Q1,"(-8.0, -6.0]",308,0.7435064935064936,0.08116883116883117,12.506493506493506
Q1,"(-6.0, -4.0]",1699,0.6715715126545027,0.12360211889346674,16.191877575044142
Q1,"(-4.0, -2.0]",4784,0.518185618729097,0.29285117056856186,20.01776755852843
Q1,"(-2.0, -1.0]",3279,0.38731320524550167,0.5519975602317779,22.087526684964928
Q1,"(-1.0, 0.0]",3411,0.0,0.9598358252711815,22.520082087364408
Q1,"(0.0, 1.0]",3075,0.34796747967479674,0.6003252032520325,21.818861788617887
Q1,"(1.0, 2.0]",2280,0.44035087719298244,0.3929824561403509,21.020614035087718
Q1,"(2.0, 4.0]",2505,0.5612774451097804,0.19920159680638722,17.807185628742516
Q1,"(4.0, 6.0]",653,0.7580398162327718,0.0444104134762634,12.788667687595712
Q1,"(6.0, 8.0]",84,0.6547619047619048,0.0,8.142857142857142
Q1,"(8.0, inf]",3,0.6666666666666666,0.0,7.333333333333333
Q2,"(-inf, -8.0]",12,0.5833333333333334,0.0,9.083333333333334
Q2,"(-8.0, -6.0]",179,0.8100558659217877,0.12290502793296089,16.30167597765363
Q2,"(-6.0, -4.0]",1399,0.8305932809149392,0.16654753395282346,22.225160829163688
Q2,"(-4.0, -2.0]",5034,0.6686531585220501,0.39193484306714343,29.403059197457292
Q2,"(-2.0, -1.0]",4137,0.5107565868987188,0.65095479816292,33.58158085569253
Q2,"(-1.0, 0.0]",4141,0.0,0.991547935281333,34.31296788215407
Q2,"(0.0, 1.0]",3400,0.5061764705882353,0.6491176470588236,32.83941176470588
Q2,"(1.0, 2.0]",2353,0.6166595835104123,0.4470888227794305,29.690182745431365
Q2,"(2.0, 4.0]",2132,0.7157598499061913,0.2589118198874296,27.356472795497186
Q2,"(4.0, 6.0]",446,0.7443946188340808,0.17937219730941703,23.807174887892376
Q2,"(6.0, 8.0]",45,0.6,0.13333333333333333,19.8
Q2,"(8.0, inf]",1,0.0,0.0,29.0
Q3,"(-inf, -8.0]",2,1.0,0.0,2.5
Q3,"(-8.0, -6.0]",92,1.0,0.03260869565217391,8.98913043478261
Q3,"(-6.0, -4.0]",739,0.8322056833558863,0.22056833558863329,21.40189445196211
Q3,"(-4.0, -2.0]",4004,0.6673326673326674,0.46228771228771226,32.59040959040959
Q3,"(-2.0, -1.0]",4260,0.5471830985915493,0.7061032863849765,37.098356807511735
Q3,"(-1.0, 0.0]",4342,0.0,0.9940119760479041,37.72109626900046
Q3,"(0.0, 1.0]",2892,0.4806362378976487,0.7596818810511756,36.60892116182573
Q3,"(1.0, 2.0]",1575,0.6165079365079366,0.5307936507936508,32.721269841269844
Q3,"(2.0, 4.0]",1122,0.7486631016042781,0.3404634581105169,27.325311942959
Q3,"(4.0, 6.0]",117,0.8461538461538461,0.1794871794871795,21.803418803418804
Q3,"(6.0, 8.0]",7,0.2857142857142857,0.0,25.857142857142858
Q4,"(-inf, -8.0]",2,1.0,0.0,1.0
Q4,"(-8.0, -6.0]",58,0.9482758620689655,0.034482758620689655,8.60344827586207
Q4,"(-6.0, -4.0]",584,0.803082191780822,0.22602739726027396,20.05821917808219
Q4,"(-4.0, -2.0]",4278,0.636512388966807,0.5378681626928471,33.72837774661057
Q4,"(-2.0, -1.0]",6294,0.5438512869399428,0.757705751509374,39.605497299014935
Q4,"(-1.0, 0.0]",5925,0.00033755274261603374,0.9910548523206751,39.2862447257384
Q4,"(0.0, 1.0]",3298,0.4787750151607035,0.782292298362644,38.19678593086719
Q4,"(1.0, 2.0]",1241,0.6438356164383562,0.48267526188557613,31.705882352941178
Q4,"(2.0, 4.0]",674,0.7166172106824926,0.33382789317507416,26.102373887240358
Q4,"(4.0, 6.0]",50,0.92,0.12,22.1
Q4,"(6.0, 8.0]",2,1.0,0.0,1.5
Q5,"(-8.0, -6.0]",8,0.875,0.125,17.5
Q5,"(-6.0, -4.0]",349,0.8424068767908309,0.1833810888252149,16.888252148997136
Q5,"(-4.0, -2.0]",2418,0.6360628618693135,0.5463192721257237,30.897435897435898
Q5,"(-2.0, -1.0]",5054,0.5267115156311832,0.7625643055005936,39.08448753462604
Q5,"(-1.0, 0.0]",8035,0.3061605476042315,0.9023024268823896,40.66484131922837
Q5,"(0.0, 1.0]",2535,0.4591715976331361,0.8879684418145957,39.249704142011836
Q5,"(1.0, 2.0]",482,0.6141078838174274,0.524896265560166,28.863070539419088
Q5,"(2.0, 4.0]",220,0.7090909090909091,0.4590909090909091,26.204545454545453
Q5,"(4.0, 6.0]",7,0.8571428571428571,0.42857142857142855,40.42857142857143
