deck_bucket,diff_bin,states,leader_win_rate,flip_rate,avg_moves_to_end
Q1,"(-inf, -8.0]",6451,0.5670438691675709,0.4768252984033483,17.92962331421485
Q1,"(-8.0, -6.0]",991,0.3975782038345106,0.7204843592330978,22.357214934409686
Q1,"(-6.0, -4.0]",920,0.38369565217391305,0.758695652173913,23.38804347826087
Q1,"(-4.0, -2.0]",965,0.30466321243523314,0.8031088082901554,22.4860103626943
Q1,"(-2.0, -1.0]",525,0.38476190476190475,0.8685714285714285,22.674285714285713
Q1,"(-1.0, 0.0]",519,0.0,0.9344894026974951,20.909441233140655
Q1,"(0.0, 1.0]",500,0.302,0.764,23.016
Q1,"(1.0, 2.0]",463,0.22894168466522677,0.8034557235421166,22.796976241900648
Q1,"(2.0, 4.0]",900,0.27111111111111114,0.7611111111111111,22.317777777777778
Q1,"(4.0, 6.0]",1021,0.2566111655239961,0.7414299706170421,22.863858961802155
Q1,"(6.0, 8.0]",900,0.3022222222222222,0.6822222222222222,23.192222222222224
Q1,"(8.0, inf]",7951,0.46346371525594265,0.43768079486857,19.506602943026035
Q2,"(-inf, -8.0]",6739,0.6873423356581095,0.5886630063807686,27.41519513280902
Q2,"(-8.0, -6.0]",974,0.5349075975359343,0.8193018480492813,34.40554414784394
Q2,"(-6.0, -4.0]",1031,0.5431619786614937,0.8360814742967992,33.82153249272551
Q2,"(-4.0, -2.0]",1056,0.4971590909090909,0.8892045454545454,33.015151515151516
Q2,"(-2.0, -1.0]",502,0.4362549800796813,0.9103585657370518,32.63147410358566
Q2,"(-1.0, 0.0]",530,0.0,0.9981132075471698,32.22452830188679
Q2,"(0.0, 1.0]",541,0.3512014787430684,0.866913123844732,29.87800369685767
Q2,"(1.0, 2.0]",533,0.3789868667917448,0.851782363977486,37.431519699812384
Q2,"(2.0, 4.0]",1100,0.38181818181818183,0.8463636363636363,34.81909090909091
Q2,"(4.0, 6.0]",1002,0.38323353293413176,0.8303393213572854,35.756487025948104
Q2,"(6.0, 8.0]",991,0.4409687184661958,0.7729566094853683,34.70332996972755
Q2,"(8.0, inf]",8280,0.5856280193236715,0.5427536231884058,30.004589371980675
Q3,"(-inf, -8.0]",5707,0.6690029787979674,0.6131067110565972,31.01927457508323
Q3,"(-8.0, -6.0]",939,0.6059637912673056,0.8317358892438764,34.64217252396166
Q3,"(-6.0, -4.0]",935,0.5112299465240642,0.8652406417112299,38.21711229946524
Q3,"(-4.0, -2.0]",991,0.4944500504540868,0.922300706357215,39.798183652875885
Q3,"(-2.0, -1.0]",445,0.501123595505618,0.9191011235955057,39.348314606741575
Q3,"(-1.0, 0.0]",478,0.0,0.997907949790795,38.39121338912134
Q3,"(0.0, 1.0]",478,0.3912133891213389,0.8828451882845189,40.23640167364017
Q3,"(1.0, 2.0]",465,0.4021505376344086,0.8387096774193549,36.88172043010753
Q3,"(2.0, 4.0]",1053,0.3798670465337132,0.8509021842355176,37.73504273504273
Q3,"(4.0, 6.0]",1008,0.38293650793650796,0.8452380952380952,38.65079365079365
Q3,"(6.0, 8.0]",900,0.4111111111111111,0.8422222222222222,35.86888888888889
Q3,"(8.0, inf]",5753,0.5866504432470016,0.6165478880584043,33.34156092473492
Q4,"(-inf, -8.0]",6674,0.6613724902607132,0.6472879832184597,32.902007791429426
Q4,"(-8.0, -6.0]",1095,0.6063926940639269,0.8529680365296803,38.45662100456621
Q4,"(-6.0, -4.0]",1267,0.5627466456195738,0.8760852407261247,37.415153906866614
Q4,"(-4.0, -2.0]",1296,0.5084876543209876,0.8981481481481481,41.27854938271605
Q4,"(-2.0, -1.0]",698,0.5530085959885387,0.9054441260744985,39.57163323782235
Q4,"(-1.0, 0.0]",699,0.0,0.994277539341917,41.11587982832618
Q4,"(0.0, 1.0]",608,0.4128289473684211,0.8667763157894737,38.55921052631579
Q4,"(1.0, 2.0]",665,0.43759398496240604,0.8887218045112782,41.96992481203007
Q4,"(2.0, 4.0]",1382,0.44645441389290885,0.8806078147612156,40.53328509406657
Q4,"(4.0, 6.0]",1190,0.45714285714285713,0.8588235294117647,40.40252100840336
Q4,"(6.0, 8.0]",1047,0.46131805157593125,0.8605539637058262,39.57784145176695
Q4,"(8.0, inf]",5785,0.5593777009507347,0.6805531547104581,35.73465859982714
Q5,"(-inf, -8.0]",4637,0.6609877075695493,0.660340737545827,33.21565667457408
Q5,"(-8.0, -6.0]",1077,0.5701021355617456,0.83008356545961,41.863509749303624
Q5,"(-6.0, -4.0]",1142,0.5499124343257443,0.8791593695271454,41.007005253940456
Q5,"(-4.0, -2.0]",1410,0.5531914893617021,0.898581560283688,42.15673758865248
Q5,"(-2.0, -1.0]",705,0.49645390070921985,0.8992907801418439,39.700709219858155
Q5,"(-1.0, 0.0]",682,0.0,0.9970674486803519,40.73900293255132
Q5,"(0.0, 1.0]",712,0.4058988764044944,0.9044943820224719,40.31741573033708
Q5,"(1.0, 2.0]",804,0.39925373134328357,0.9203980099502488,43.79353233830846
Q5,"(2.0, 4.0]",1357,0.4384672070744289,0.8960943257184967,41.87472365512159
Q5,"(4.0, 6.0]",1156,0.4826989619377163,0.8849480968858131,41.46799307958477
Q5,"(6.0, 8.0]",1045,0.4354066985645933,0.8784688995215311,42.81148325358852
Q5,"(8.0, inf]",4381,0.5580917598721753,0.7025793197900023,34.21821501940196
