diff_bin,states,flip_rate
"(-inf, -8.0]",30208,0.5933527542372882
"(-8.0, -6.0]",5076,0.8118597320724981
"(-6.0, -4.0]",5295,0.8466477809254013
"(-4.0, -2.0]",5718,0.8847499125568381
"(-2.0, -1.0]",2875,0.9001739130434783
"(-1.0, 0.0]",2908,0.9855570839064649
"(0.0, 1.0]",2839,0.8608665022895385
"(1.0, 2.0]",2930,0.869283276450512
"(2.0, 4.0]",5792,0.8537638121546961
"(4.0, 6.0]",5377,0.8342942161056351
"(6.0, 8.0]",4883,0.8103624820806881
"(8.0, inf]",32150,0.576547433903577
