deck_bucket,diff_bin,states,p0_win_rate,p1_win_rate,stalemate_rate,leader_win_rate,avg_moves_to_end
Q1,"(-inf, -8.0]",6451.0,0.18530066815144766,0.8146993318485524,0.0,0.5670438691675709,17.92962331421485
Q1,"(-8.0, -6.0]",991.0,0.35090609555189456,0.6490939044481054,0.0,0.3975782038345106,22.357214934409686
Q1,"(-6.0, -4.0]",920.0,0.36396396396396397,0.6360360360360361,0.0,0.38369565217391305,23.38804347826087
Q1,"(-4.0, -2.0]",965.0,0.41434262948207173,0.5856573705179283,0.0,0.30466321243523314,22.4860103626943
Q1,"(-2.0, -1.0]",525.0,0.3377049180327869,0.6622950819672131,0.0,0.38476190476190475,22.674285714285713
Q1,"(-1.0, 0.0]",519.0,0.46474358974358976,0.5352564102564102,0.0,0.0,20.909441233140655
Q1,"(0.0, 1.0]",500.0,0.5067114093959731,0.49328859060402686,0.0,0.302,23.016
Q1,"(1.0, 2.0]",463.0,0.3593220338983051,0.6406779661016949,0.0,0.22894168466522677,22.796976241900648
Q1,"(2.0, 4.0]",900.0,0.4701348747591522,0.5298651252408478,0.0,0.27111111111111114,22.317777777777778
Q1,"(4.0, 6.0]",1021.0,0.42671009771986973,0.5732899022801303,0.0,0.2566111655239961,22.863858961802155
Q1,"(6.0, 8.0]",900.0,0.5141776937618148,0.48582230623818523,0.0,0.3022222222222222,23.192222222222224
Q1,"(8.0, inf]",7951.0,0.7252509348553434,0.2747490651446566,0.0,0.46346371525594265,19.506602943026035
Q2,"(-inf, -8.0]",6739.0,0.20507980092672043,0.7949201990732796,0.0,0.6873423356581095,27.41519513280902
Q2,"(-8.0, -6.0]",974.0,0.3737980769230769,0.6262019230769231,0.0,0.5349075975359343,34.40554414784394
Q2,"(-6.0, -4.0]",1031.0,0.36291240045506257,0.6370875995449374,0.0,0.5431619786614937,33.82153249272551
Q2,"(-4.0, -2.0]",1056.0,0.4186046511627907,0.5813953488372093,0.0,0.4971590909090909,33.015151515151516
Q2,"(-2.0, -1.0]",502.0,0.472289156626506,0.5277108433734939,0.0,0.4362549800796813,32.63147410358566
Q2,"(-1.0, 0.0]",530.0,0.46547884187082406,0.534521158129176,0.0,0.0,32.22452830188679
Q2,"(0.0, 1.0]",541.0,0.4051172707889126,0.5948827292110874,0.0,0.3512014787430684,29.87800369685767
Q2,"(1.0, 2.0]",533.0,0.48095238095238096,0.5190476190476191,0.0,0.3789868667917448,37.431519699812384
Q2,"(2.0, 4.0]",1100.0,0.4580152671755725,0.5419847328244275,0.0,0.38181818181818183,34.81909090909091
Q2,"(4.0, 6.0]",1002.0,0.47701863354037266,0.5229813664596273,0.0,0.38323353293413176,35.756487025948104
Q2,"(6.0, 8.0]",991.0,0.5309842041312273,0.4690157958687728,0.0,0.4409687184661958,34.70332996972755
Q2,"(8.0, inf]",8280.0,0.6951971326164874,0.30480286738351253,0.0,0.5856280193236715,30.004589371980675
Q3,"(-inf, -8.0]",5707.0,0.2556053811659193,0.7443946188340808,0.0,0.6690029787979674,31.01927457508323
Q3,"(-8.0, -6.0]",939.0,0.33760186263096625,0.6623981373690337,0.0,0.6059637912673056,34.64217252396166
Q3,"(-6.0, -4.0]",935.0,0.39570164348925413,0.6042983565107459,0.0,0.5112299465240642,38.21711229946524
Q3,"(-4.0, -2.0]",991.0,0.4361334867663982,0.5638665132336018,0.0,0.4944500504540868,39.798183652875885
Q3,"(-2.0, -1.0]",445.0,0.434010152284264,0.565989847715736,0.0,0.501123595505618,39.348314606741575
Q3,"(-1.0, 0.0]",478.0,0.3878048780487805,0.6121951219512195,0.0,0.0,38.39121338912134
Q3,"(0.0, 1.0]",478.0,0.4431279620853081,0.556872037914692,0.0,0.3912133891213389,40.23640167364017
Q3,"(1.0, 2.0]",465.0,0.45169082125603865,0.5483091787439613,0.0,0.4021505376344086,36.88172043010753
Q3,"(2.0, 4.0]",1053.0,0.42283298097251587,0.5771670190274841,0.0,0.3798670465337132,37.73504273504273
Q3,"(4.0, 6.0]",1008.0,0.4436781609195402,0.5563218390804597,0.0,0.38293650793650796,38.65079365079365
Q3,"(6.0, 8.0]",900.0,0.4539877300613497,0.5460122699386503,0.0,0.4111111111111111,35.86888888888889
Q3,"(8.0, inf]",5753.0,0.6519219625265598,0.34807803747344024,0.0,0.5866504432470016,33.34156092473492
Q4,"(-inf, -8.0]",6674.0,0.2880645161290323,0.7119354838709677,0.0,0.6613724902607132,32.902007791429426
Q4,"(-8.0, -6.0]",1095.0,0.3464566929133858,0.6535433070866141,0.0,0.6063926940639269,38.45662100456621
Q4,"(-6.0, -4.0]",1267.0,0.37456140350877193,0.625438596491228,0.0,0.5627466456195738,37.415153906866614
Q4,"(-4.0, -2.0]",1296.0,0.43962585034013607,0.560374149659864,0.0,0.5084876543209876,41.27854938271605
Q4,"(-2.0, -1.0]",698.0,0.3987538940809969,0.6012461059190031,0.0,0.5530085959885387,39.57163323782235
Q4,"(-1.0, 0.0]",699.0,0.4625,0.5375,0.0,0.0,41.11587982832618
Q4,"(0.0, 1.0]",608.0,0.4450354609929078,0.5549645390070922,0.0,0.4128289473684211,38.55921052631579
Q4,"(1.0, 2.0]",665.0,0.48580968280467446,0.5141903171953256,0.0,0.43759398496240604,41.96992481203007
Q4,"(2.0, 4.0]",1382.0,0.4889064976228209,0.5110935023771791,0.0,0.44645441389290885,40.53328509406657
Q4,"(4.0, 6.0]",1190.0,0.4981684981684982,0.5018315018315018,0.0,0.45714285714285713,40.40252100840336
Q4,"(6.0, 8.0]",1047.0,0.5057591623036649,0.4942408376963351,0.0,0.46131805157593125,39.57784145176695
Q4,"(8.0, inf]",5785.0,0.6044079193126635,0.3955920806873366,0.0,0.5593777009507347,35.73465859982714
Q5,"(-inf, -8.0]",4637.0,0.3000685087919616,0.6999314912080383,0.0,0.6609877075695493,33.21565667457408
Q5,"(-8.0, -6.0]",1077.0,0.3779128672745694,0.6220871327254306,0.0,0.5701021355617456,41.863509749303624
Q5,"(-6.0, -4.0]",1142.0,0.40698772426817753,0.5930122757318225,0.0,0.5499124343257443,41.007005253940456
Q5,"(-4.0, -2.0]",1410.0,0.4108761329305136,0.5891238670694864,0.0,0.5531914893617021,42.15673758865248
Q5,"(-2.0, -1.0]",705.0,0.4648318042813456,0.5351681957186545,0.0,0.49645390070921985,39.700709219858155
Q5,"(-1.0, 0.0]",682.0,0.40031645569620256,0.5996835443037974,0.0,0.0,40.73900293255132
Q5,"(0.0, 1.0]",712.0,0.4418960244648318,0.5581039755351682,0.0,0.4058988764044944,40.31741573033708
Q5,"(1.0, 2.0]",804.0,0.4326145552560647,0.5673854447439353,0.0,0.39925373134328357,43.79353233830846
Q5,"(2.0, 4.0]",1357.0,0.47035573122529645,0.5296442687747036,0.0,0.4384672070744289,41.87472365512159
Q5,"(4.0, 6.0]",1156.0,0.5166666666666667,0.48333333333333334,0.0,0.4826989619377163,41.46799307958477
Q5,"(6.0, 8.0]",1045.0,0.4830148619957537,0.5169851380042463,0.0,0.4354066985645933,42.81148325358852
Q5,"(8.0, inf]",4381.0,0.5852082336045955,0.4147917663954045,0.0,0.5580917598721753,34.21821501940196
