diff_bin,states,p0_win_rate,p1_win_rate,stalemate_rate,leader_win_rate,avg_moves_to_end
"(-inf, -8.0]",30208.0,0.24737752161383286,0.7526224783861671,0.0,0.6484043961864406,28.173033633474578
"(-8.0, -6.0]",5076.0,0.35782376191583354,0.6421762380841665,0.0,0.5441292356185973,34.55338849487786
"(-6.0, -4.0]",5295.0,0.38245931283905965,0.6175406871609403,0.0,0.5159584513692163,35.19452313503305
"(-4.0, -2.0]",5718.0,0.4243820695433599,0.5756179304566401,0.0,0.4805876180482686,36.54092339979014
"(-2.0, -1.0]",2875.0,0.42738589211618255,0.5726141078838174,0.0,0.48,35.27130434782609
"(-1.0, 0.0]",2908.0,0.43471142038477284,0.5652885796152272,0.0,0.0,35.352819807427785
"(0.0, 1.0]",2839.0,0.4437058579144163,0.5562941420855837,0.0,0.37618879887284257,34.890806622050015
"(1.0, 2.0]",2930.0,0.44817813765182185,0.5518218623481781,0.0,0.3778156996587031,37.807508532423206
"(2.0, 4.0]",5792.0,0.46363821552250967,0.5363617844774903,0.0,0.39295580110497236,36.42316988950276
"(4.0, 6.0]",5377.0,0.47836807890607486,0.5216319210939251,0.0,0.39687558117909616,36.107122931002415
"(6.0, 8.0]",4883.0,0.49630905511811024,0.5036909448818898,0.0,0.41306573827565024,35.57689944706123
"(8.0, inf]",32150.0,0.6572015692135251,0.3427984307864749,0.0,0.5471228615863142,29.610699844479004
